"ID","FirstName","LastName","Email","Phone","Department","Position","Salary","HireDate","Manager"
"1","FirstName1","LastName1","email1@example.com","555-12341","Engineering","Salesperson","80254.70762504272","2023-01-23","John Doe"
"2","FirstName2","LastName2","email2@example.com","555-12342","Marketing","Marketer","81313.16144767994","2023-01-16","Judy White"
"3","FirstName3","LastName3","email3@example.com","555-12343","Sales","Developer","93699.15684925817","2023-01-23","Jane Smith"
"4","FirstName4","LastName4","email4@example.com","555-12344","Engineering","Manager","54838.67919564332","2023-01-16","John Doe"
"5","FirstName5","LastName5","email5@example.com","555-12345","Sales","Developer","66900.02392412111","2023-01-10","Jane Smith"
"6","FirstName6","LastName6","email6@example.com","555-12346","Sales","Marketer","87980.75429318556","2023-01-18","John Doe"
"7","FirstName7","LastName7","email7@example.com","555-12347","Sales","Developer","98234.59840159921","2023-01-28","Judy White"
"8","FirstName8","LastName8","email8@example.com","555-12348","HR","Manager","87983.48032631664","2023-01-20","Jane Smith"
"9","FirstName9","LastName9","email9@example.com","555-12349","HR","Marketer","97084.25764194471","2023-01-22","John Doe"
"10","FirstName10","LastName10","email10@example.com","555-123410","Engineering","Manager","91733.44044940302","2023-01-23","Jim Brown"
"11","FirstName11","LastName11","email11@example.com","555-123411","Marketing","Developer","79731.44295419422","2023-01-8","John Doe"
"12","FirstName12","LastName12","email12@example.com","555-123412","Marketing","Developer","84347.01846263297","2023-01-1","Jane Smith"
"13","FirstName13","LastName13","email13@example.com","555-123413","HR","Salesperson","92802.54423162632","2023-01-9","Jim Brown"
"14","FirstName14","LastName14","email14@example.com","555-123414","HR","Manager","81871.50500840778","2023-01-12","Judy White"
"15","FirstName15","LastName15","email15@example.com","555-123415","Marketing","Salesperson","54993.34831238386","2023-01-23","Jane Smith"
"16","FirstName16","LastName16","email16@example.com","555-123416","Engineering","Manager","57079.11204351289","2023-01-10","Jane Smith"
"17","FirstName17","LastName17","email17@example.com","555-123417","HR","Marketer","65273.161658657715","2023-01-2","Jim Brown"
"18","FirstName18","LastName18","email18@example.com","555-123418","Sales","Manager","63632.45153923777","2023-01-21","Jim Brown"
"19","FirstName19","LastName19","email19@example.com","555-123419","Marketing","Manager","92058.02347790464","2023-01-16","Jim Brown"
"20","FirstName20","LastName20","email20@example.com","555-123420","Sales","Salesperson","97105.67192697208","2023-01-27","Jim Brown"
"21","FirstName21","LastName21","email21@example.com","555-123421","Sales","Marketer","94544.78617883146","2023-01-26","Judy White"
